freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.124e+01,3.138e+03,3.849e+01,3.248e+03
1.6,1.501e+02,1.782e+03,5.991e+01,1.992e+03
3.2,9.200e+01,7.212e+01,5.613e+01,2.202e+02
4.8,1.211e+02,4.490e+02,5.906e+01,6.292e+02
6.3,1.704e+02,1.356e+03,6.108e+01,1.588e+03
7.9,1.501e+02,2.158e+03,6.126e+01,2.370e+03
9.5,1.705e+02,3.108e+03,6.213e+01,3.341e+03
11.1,1.823e+02,4.204e+03,5.781e+01,4.444e+03
12.7,1.924e+02,5.495e+03,5.941e+01,5.747e+03
14.3,1.897e+02,7.008e+03,6.507e+01,7.263e+03
15.9,1.939e+02,8.810e+03,6.844e+01,9.072e+03
17.5,1.645e+02,1.077e+04,7.263e+01,1.100e+04
19.0,1.514e+02,1.322e+04,8.253e+01,1.346e+04
20.6,1.599e+02,1.659e+04,9.233e+01,1.684e+04
22.2,1.943e+02,2.092e+04,1.015e+02,2.122e+04
23.8,2.151e+02,2.297e+04,9.890e+01,2.329e+04
25.4,3.014e+02,2.237e+04,9.628e+01,2.277e+04
27.0,4.110e+02,2.482e+04,1.053e+02,2.533e+04
28.6,5.022e+02,2.882e+04,1.101e+02,2.943e+04
30.2,6.210e+02,3.359e+04,1.382e+02,3.435e+04
31.7,4.786e+02,3.742e+04,1.710e+02,3.807e+04
33.3,2.733e+02,3.919e+04,1.937e+02,3.966e+04
34.9,2.536e+02,4.057e+04,2.572e+02,4.108e+04
36.5,2.655e+02,4.423e+04,3.364e+02,4.483e+04
38.1,3.207e+02,5.289e+04,3.162e+02,5.352e+04
39.7,3.760e+02,6.489e+04,2.379e+02,6.551e+04
41.3,3.751e+02,7.078e+04,1.818e+02,7.134e+04
42.9,2.869e+02,7.594e+04,1.884e+02,7.641e+04
44.4,3.679e+02,8.610e+04,3.442e+02,8.682e+04
46.0,4.477e+02,9.888e+04,5.792e+02,9.991e+04
47.6,5.362e+02,1.122e+05,9.447e+02,1.137e+05
49.2,6.435e+02,1.293e+05,1.419e+03,1.314e+05
50.8,6.600e+02,1.486e+05,1.783e+03,1.511e+05
52.4,6.040e+02,1.558e+05,2.327e+03,1.587e+05
54.0,5.483e+02,1.598e+05,3.669e+03,1.640e+05
55.6,5.035e+02,1.790e+05,6.822e+03,1.863e+05
57.1,6.309e+02,2.449e+05,1.197e+04,2.575e+05
58.7,1.043e+03,3.949e+05,1.649e+04,4.124e+05
60.3,1.500e+03,5.815e+05,1.951e+04,6.025e+05
61.9,2.157e+03,7.996e+05,2.233e+04,8.241e+05
63.5,3.086e+03,1.058e+06,2.742e+04,1.088e+06
65.1,4.132e+03,1.377e+06,3.678e+04,1.418e+06
66.7,5.480e+03,1.832e+06,4.779e+04,1.886e+06
68.3,7.593e+03,2.498e+06,5.750e+04,2.563e+06
69.8,1.060e+04,3.505e+06,6.987e+04,3.585e+06
71.4,1.596e+04,5.300e+06,9.103e+04,5.407e+06
73.0,2.556e+04,8.680e+06,1.207e+05,8.826e+06
74.6,3.692e+04,1.387e+07,1.500e+05,1.406e+07
76.2,4.654e+04,1.925e+07,1.722e+05,1.947e+07
77.8,7.760e+04,2.388e+07,1.974e+05,2.416e+07
79.4,9.123e+04,2.536e+07,2.090e+05,2.566e+07
81.0,7.277e+04,2.128e+07,1.709e+05,2.152e+07
82.5,6.100e+04,1.692e+07,1.198e+05,1.710e+07
84.1,6.077e+04,1.397e+07,8.866e+04,1.412e+07
85.7,5.834e+04,1.114e+07,7.985e+04,1.128e+07
87.3,5.199e+04,8.629e+06,7.349e+04,8.755e+06
88.9,5.018e+04,6.903e+06,5.538e+04,7.009e+06
90.5,4.764e+04,5.931e+06,3.359e+04,6.012e+06
92.1,4.450e+04,5.342e+06,1.618e+04,5.403e+06
93.7,3.983e+04,5.108e+06,7.738e+03,5.155e+06
95.2,3.245e+04,4.987e+06,4.247e+03,5.023e+06
96.8,2.618e+04,4.780e+06,1.941e+03,4.808e+06
98.4,2.325e+04,4.582e+06,1.879e+03,4.607e+06
100.0,2.018e+04,4.374e+06,9.965e+03,4.405e+06
101.6,1.736e+04,3.968e+06,2.720e+04,4.012e+06
103.2,1.536e+04,3.463e+06,4.442e+04,3.523e+06
104.8,1.468e+04,2.980e+06,5.226e+04,3.047e+06
106.4,1.488e+04,2.632e+06,5.307e+04,2.700e+06
107.9,1.563e+04,2.336e+06,4.861e+04,2.400e+06
109.5,1.686e+04,2.048e+06,4.107e+04,2.106e+06
111.1,1.810e+04,1.789e+06,3.372e+04,1.841e+06
112.7,1.931e+04,1.577e+06,2.757e+04,1.624e+06
114.3,2.074e+04,1.349e+06,2.160e+04,1.392e+06
115.9,2.167e+04,1.094e+06,1.582e+04,1.132e+06
117.5,2.207e+04,8.704e+05,1.151e+04,9.040e+05
119.1,2.215e+04,6.926e+05,8.547e+03,7.233e+05
120.6,1.922e+04,4.901e+05,5.643e+03,5.150e+05
122.2,1.561e+04,3.179e+05,3.396e+03,3.369e+05
123.8,1.686e+04,2.695e+05,2.877e+03,2.892e+05
125.4,1.837e+04,2.437e+05,2.637e+03,2.647e+05
127.0,1.712e+04,2.109e+05,2.592e+03,2.307e+05
128.6,1.801e+04,1.795e+05,2.585e+03,2.001e+05
130.2,1.979e+04,1.544e+05,2.480e+03,1.766e+05
131.8,1.968e+04,1.249e+05,2.242e+03,1.468e+05
133.3,1.059e+04,5.414e+04,1.092e+03,6.583e+04
134.9,4.500e+03,1.329e+04,3.554e+02,1.815e+04
136.5,4.572e+03,1.074e+04,3.060e+02,1.562e+04
138.1,5.160e+03,1.052e+04,2.630e+02,1.594e+04
139.7,5.089e+03,1.146e+04,2.832e+02,1.683e+04
141.3,5.519e+03,1.424e+04,3.567e+02,2.012e+04
142.9,6.137e+03,2.345e+04,4.699e+02,3.006e+04
144.4,8.867e+03,5.700e+04,8.576e+02,6.673e+04
146.0,1.087e+04,1.370e+05,1.794e+03,1.496e+05
147.6,1.261e+04,1.451e+05,2.002e+03,1.597e+05
149.2,1.447e+04,9.874e+04,1.140e+03,1.144e+05
150.8,1.434e+04,7.994e+04,1.038e+03,9.532e+04
152.4,1.125e+04,5.613e+04,1.062e+03,6.844e+04
154.0,1.056e+04,1.200e+05,1.774e+03,1.323e+05
155.6,1.788e+04,2.455e+05,2.758e+03,2.662e+05
157.1,3.446e+04,3.335e+05,2.936e+03,3.709e+05
158.7,4.007e+04,3.745e+05,2.834e+03,4.174e+05
160.3,2.054e+04,4.283e+05,3.373e+03,4.522e+05
161.9,1.229e+04,4.023e+05,3.725e+03,4.183e+05
163.5,1.362e+04,3.367e+05,3.360e+03,3.537e+05
165.1,2.081e+04,2.836e+05,2.638e+03,3.071e+05
166.7,2.696e+04,2.511e+05,1.909e+03,2.800e+05
168.3,1.897e+04,2.269e+05,1.249e+03,2.471e+05
169.8,1.949e+04,2.058e+05,8.345e+02,2.262e+05
171.4,1.679e+04,1.782e+05,5.909e+02,1.956e+05
173.0,1.247e+04,1.584e+05,4.379e+02,1.713e+05
174.6,1.054e+04,1.442e+05,3.598e+02,1.551e+05
176.2,1.015e+04,1.275e+05,3.321e+02,1.380e+05
177.8,1.150e+04,1.128e+05,3.151e+02,1.246e+05
179.4,1.362e+04,1.014e+05,3.086e+02,1.153e+05
181.0,1.657e+04,9.185e+04,2.869e+02,1.087e+05
182.5,2.254e+04,8.412e+04,2.625e+02,1.069e+05
184.1,3.124e+04,7.612e+04,2.615e+02,1.076e+05
185.7,4.283e+04,7.155e+04,2.347e+02,1.146e+05
187.3,5.610e+04,6.745e+04,1.971e+02,1.237e+05
188.9,7.045e+04,6.415e+04,1.970e+02,1.348e+05
190.5,8.317e+04,6.413e+04,1.961e+02,1.475e+05
192.1,9.689e+04,6.795e+04,2.092e+02,1.650e+05
193.7,1.033e+05,6.699e+04,2.289e+02,1.706e+05
195.2,1.082e+05,7.466e+04,2.336e+02,1.831e+05
196.8,1.122e+05,8.108e+04,2.445e+02,1.936e+05
198.4,1.233e+05,8.749e+04,2.697e+02,2.111e+05
