freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.062e+03,4.806e+01,2.088e+01,1.131e+03
1.6,6.502e+02,7.554e+01,5.919e+01,7.849e+02
3.2,9.664e+01,6.098e+01,6.211e+01,2.197e+02
4.8,4.613e+02,5.521e+01,6.366e+01,5.802e+02
6.3,1.342e+03,6.012e+01,6.666e+01,1.469e+03
7.9,2.120e+03,6.329e+01,6.397e+01,2.247e+03
9.5,2.927e+03,6.530e+01,5.874e+01,3.051e+03
11.1,3.960e+03,7.071e+01,5.838e+01,4.089e+03
12.7,5.128e+03,6.641e+01,6.182e+01,5.256e+03
14.3,6.372e+03,6.151e+01,6.561e+01,6.499e+03
15.9,8.013e+03,6.611e+01,6.252e+01,8.142e+03
17.5,9.888e+03,6.886e+01,5.923e+01,1.002e+04
19.0,1.188e+04,6.911e+01,6.159e+01,1.201e+04
20.6,1.406e+04,7.224e+01,6.448e+01,1.419e+04
22.2,1.673e+04,9.106e+01,6.442e+01,1.688e+04
23.8,1.979e+04,1.014e+02,6.317e+01,1.995e+04
25.4,2.283e+04,8.163e+01,6.640e+01,2.298e+04
27.0,2.716e+04,6.782e+01,6.382e+01,2.729e+04
28.6,3.121e+04,6.485e+01,6.302e+01,3.134e+04
30.2,3.386e+04,7.020e+01,6.240e+01,3.399e+04
31.7,3.360e+04,7.916e+01,6.000e+01,3.374e+04
33.3,3.488e+04,9.332e+01,6.264e+01,3.504e+04
34.9,3.791e+04,1.132e+02,6.861e+01,3.809e+04
36.5,3.868e+04,1.947e+02,6.790e+01,3.894e+04
38.1,4.097e+04,3.348e+02,7.529e+01,4.138e+04
39.7,4.726e+04,4.414e+02,8.564e+01,4.778e+04
41.3,5.194e+04,3.976e+02,9.432e+01,5.243e+04
42.9,5.719e+04,3.390e+02,9.943e+01,5.763e+04
44.4,6.463e+04,3.546e+02,1.118e+02,6.510e+04
46.0,7.265e+04,4.236e+02,1.285e+02,7.320e+04
47.6,8.127e+04,5.277e+02,1.495e+02,8.194e+04
49.2,8.978e+04,6.004e+02,1.689e+02,9.055e+04
50.8,9.742e+04,6.372e+02,1.619e+02,9.822e+04
52.4,1.012e+05,7.518e+02,1.603e+02,1.021e+05
54.0,1.021e+05,9.828e+02,1.586e+02,1.033e+05
55.6,1.091e+05,1.309e+03,1.758e+02,1.106e+05
57.1,1.204e+05,1.800e+03,2.030e+02,1.224e+05
58.7,1.345e+05,2.665e+03,2.584e+02,1.374e+05
60.3,1.490e+05,4.540e+03,4.273e+02,1.539e+05
61.9,1.656e+05,8.161e+03,7.787e+02,1.745e+05
63.5,1.843e+05,1.333e+04,1.277e+03,1.989e+05
65.1,2.054e+05,1.663e+04,1.643e+03,2.236e+05
66.7,2.272e+05,1.715e+04,1.833e+03,2.461e+05
68.3,2.501e+05,1.685e+04,1.947e+03,2.689e+05
69.8,2.710e+05,1.543e+04,2.164e+03,2.886e+05
71.4,2.930e+05,1.346e+04,2.277e+03,3.087e+05
73.0,3.094e+05,1.057e+04,2.135e+03,3.221e+05
74.6,2.979e+05,6.867e+03,1.825e+03,3.066e+05
76.2,2.793e+05,3.666e+03,1.404e+03,2.844e+05
77.8,2.772e+05,1.961e+03,7.984e+02,2.800e+05
79.4,3.097e+05,2.216e+03,4.762e+02,3.124e+05
81.0,3.557e+05,3.249e+03,3.047e+02,3.592e+05
82.5,4.049e+05,7.902e+03,2.218e+02,4.130e+05
84.1,4.602e+05,1.773e+04,3.246e+02,4.782e+05
85.7,5.229e+05,2.207e+04,8.157e+02,5.457e+05
87.3,5.838e+05,3.324e+04,3.290e+03,6.203e+05
88.9,6.321e+05,3.540e+04,8.236e+03,6.757e+05
90.5,6.908e+05,2.811e+04,1.474e+04,7.336e+05
92.1,7.521e+05,2.476e+04,2.056e+04,7.974e+05
93.7,7.908e+05,2.354e+04,2.534e+04,8.397e+05
95.2,8.521e+05,1.989e+04,3.892e+04,9.110e+05
96.8,9.643e+05,2.371e+04,6.879e+04,1.057e+06
98.4,1.123e+06,4.945e+04,1.120e+05,1.284e+06
100.0,1.330e+06,1.011e+05,1.601e+05,1.591e+06
101.6,1.581e+06,1.478e+05,1.984e+05,1.928e+06
103.2,1.825e+06,1.447e+05,1.913e+05,2.161e+06
104.8,2.042e+06,1.222e+05,1.309e+05,2.296e+06
106.4,2.315e+06,1.170e+05,7.337e+04,2.505e+06
107.9,2.675e+06,1.241e+05,4.078e+04,2.840e+06
109.5,3.141e+06,1.394e+05,2.459e+04,3.305e+06
111.1,3.751e+06,1.620e+05,1.713e+04,3.930e+06
112.7,4.564e+06,1.946e+05,1.478e+04,4.773e+06
114.3,5.641e+06,2.357e+05,1.538e+04,5.892e+06
115.9,7.237e+06,3.039e+05,2.057e+04,7.562e+06
117.5,9.712e+06,4.190e+05,3.244e+04,1.016e+07
119.1,1.298e+07,5.791e+05,4.903e+04,1.361e+07
120.6,1.193e+07,5.229e+05,4.482e+04,1.249e+07
122.2,8.502e+06,3.509e+05,2.721e+04,8.881e+06
123.8,7.443e+06,3.018e+05,2.138e+04,7.767e+06
125.4,6.503e+06,2.559e+05,1.668e+04,6.775e+06
127.0,5.590e+06,1.729e+05,1.336e+04,5.777e+06
128.6,5.666e+06,1.169e+05,1.644e+04,5.799e+06
130.2,5.333e+06,9.948e+04,1.590e+04,5.448e+06
131.8,4.152e+06,6.990e+04,1.253e+04,4.235e+06
133.3,1.593e+06,2.675e+04,5.074e+03,1.625e+06
134.9,1.928e+05,4.827e+03,5.833e+02,1.983e+05
136.5,1.135e+05,3.252e+03,4.121e+02,1.171e+05
138.1,9.288e+04,2.571e+03,3.826e+02,9.584e+04
139.7,7.588e+04,1.944e+03,3.229e+02,7.815e+04
141.3,5.673e+04,1.277e+03,2.486e+02,5.825e+04
142.9,3.688e+04,6.865e+02,1.879e+02,3.776e+04
144.5,2.373e+04,3.766e+02,1.639e+02,2.427e+04
146.0,1.739e+04,2.193e+02,1.653e+02,1.778e+04
147.6,1.408e+04,1.733e+02,1.769e+02,1.443e+04
149.2,1.222e+04,3.110e+02,2.320e+02,1.276e+04
150.8,1.158e+04,6.117e+02,2.949e+02,1.249e+04
152.4,1.076e+04,6.952e+02,1.672e+02,1.163e+04
154.0,8.921e+03,5.717e+02,1.474e+02,9.640e+03
155.6,8.012e+03,5.729e+02,1.880e+02,8.773e+03
157.2,8.449e+03,7.448e+02,2.236e+02,9.418e+03
158.7,1.101e+04,2.482e+03,3.305e+02,1.382e+04
160.3,1.482e+04,7.745e+03,4.932e+02,2.306e+04
161.9,1.452e+04,1.023e+04,4.889e+02,2.524e+04
163.5,1.175e+04,1.114e+04,4.371e+02,2.332e+04
165.1,1.145e+04,1.348e+04,3.740e+02,2.531e+04
166.7,1.352e+04,1.386e+04,3.101e+02,2.769e+04
168.3,1.591e+04,1.106e+04,2.625e+02,2.723e+04
169.9,1.827e+04,9.374e+03,2.126e+02,2.785e+04
171.4,2.250e+04,7.301e+03,1.834e+02,2.999e+04
173.0,2.818e+04,4.957e+03,1.847e+02,3.332e+04
174.6,3.652e+04,3.687e+03,2.155e+02,4.042e+04
176.2,4.577e+04,3.000e+03,2.407e+02,4.901e+04
177.8,5.351e+04,2.474e+03,2.552e+02,5.624e+04
179.4,6.270e+04,1.974e+03,2.756e+02,6.495e+04
181.0,7.504e+04,1.815e+03,2.970e+02,7.716e+04
182.6,9.261e+04,1.747e+03,3.182e+02,9.467e+04
184.1,1.134e+05,1.653e+03,3.627e+02,1.154e+05
185.7,1.538e+05,1.609e+03,4.499e+02,1.558e+05
187.3,1.943e+05,1.791e+03,5.330e+02,1.966e+05
188.9,2.075e+05,2.501e+03,5.520e+02,2.105e+05
190.5,2.075e+05,3.857e+03,5.160e+02,2.119e+05
192.1,1.948e+05,5.505e+03,4.651e+02,2.007e+05
193.7,1.536e+05,6.501e+03,3.701e+02,1.605e+05
